COID,CE_ID,Supplier,Address,City,ZIP,Country/Region,Head office,ZIP (head office),Standard,Certificate/Assessment lock date,Lock reason,Certificate/Assessment issue date,Product scopes,Lock history,Next audit to be performed
12210,272156B8,PAROT SAS,BP 2,St ROMAIN LE PUY,42610,France,GIE Source ALMA GIE,61420,IFS Food,25.07.2025,"During th audit, a KO was raised on requirement 2.3.9.1: 
 CCP C1 (inspection of washed empty glass bottles), which is used to control the risk of cleaning/disinfection product residues, is managed by an electronic eye (HEUFT inspector) that is routinely tested using a 1L or 0.25cl test bottle, depending on the format, which must be filled with a 10ml dose of water prepared by the internal laboratory in plastic tubes (according to document CSL 001 enr 05-02 dated 01/25/21 “inspection of washed bottles”). CCP monitoring is carried out at the beginning, middle, and end of the day or in the event of a format change by performing an ejection test of the inspector with this test bottle.
 
 During the test requested in the field audit of 07/22/25 (test on the 1 L format), the operator used a test bottle with a volume of added water that was visually much greater than 10 ml and was deemed compliant by the HEUFT inspector. It was therefore requested that the test be redone with the 10 ml dose as planned. Three tests were thus redone and each time deemed non-compliant by the HEUFT inspector (the test bottle was not detected by the inspector as it should have been). In addition, the volume of water in the 25cl test bottle was also abnormally greater than 10ml. The site is therefore unable to control the chemical risk in its production.",26.11.2024,8,Locked: 25.07.2025,
71826,76A02E1E,Mar Cabo - Produtos Congelados Lda,"Lugar das Carvalhas, Armazém 7",Custóias - Matosinhos,4460-710,Portugal,,,IFS Food,30.07.2025,"The company Mar Cabo - Produtos Congelados Lda - COID 71826 received a authority visit (DGAV) on July 03, 2025, the report was released and sent to WQS last week. 
 24 Non-conformities were raised which the following below show that there are products at risk and/or legal requirements are not met (for example): 
  
 e) The walls and ceiling of the access corridor to chambers CAM 01, CAM 02, and CAM 03 had several dark spots consistent with the presence of mold; 
 f) In chamber CAM 03, water dripping from the evaporator was visible, but the product underneath was properly protected. 
 h) The ceiling of the Sector II freezing tunnel had condensation, and underneath there was product that was not properly protected; 
 3) In the Sector II production room, some knives with orange stains consistent with oxidation were observed inside the container for clean and sanitized knives. There were also knives with moisture on them, which is not in accordance with the utensil cleaning and disinfection plan, which states that utensils must be properly dried after sanitization. It was also found that there are no provisions for intermediate sanitization of knives used in filleting operations during the work period. All of this is in breach of the provisions of Article 5 and paragraph 1 of Chapter V of Annex II, both of Regulation (EC) No. 852/4 of April 29. 
  
 With regard to the assessment of specific requirements for export to the Federative Republic of Brazil, the following was verified: 
 I. With regard to Standard Operating Hygiene Procedures (PPHO), there is no defined and implemented plan establishing daily hygiene actions for facilities, equipment, utensils, and manufacturing practices carried out during intra-operational periods, complemented by specific requirements such as monitoring, verification, application of corrective measures, and respective records, in violation of the provisions of Article 54 of Chapter II of Title IV of Decree No. 9,013 of March 29, 2017; 
 II. Regarding “Work Instruction IFS-GP.01.15 v4.24,” with respect to ""Quality Control – Parasites”, the document presented does not define the criteria for acceptability in fish, nor does it refer to another document that allows compliance with Memorandum-Circular No. 2/2018/CGI/DIPOA/MAPA/SDA/MAPA, of February 8, 2018. 
  
 The company has lost the license to export products to Brazil, Argentina, Cuba and Colombia.",20.06.2025,"2, 7",Locked: 30.07.2025,
78538,004DA469,VIGNOBLES ROUSSEAU SCE,1 PETIT SORILLON,ABZAC,33230,France,,,IFS Food,01.08.2025,Suspension of certification requested by customer,31.10.2024,8,Locked: 01.08.2025,14.09.2025 - 15.09.2025
10479,C965024D,"A+Z Rišňovský, Halász, s.r.o.",Priemyselna 2,Veľké Uľany,SK-925 22,Slovaquie,,,IFS Food,27.08.2025,"Auditor arrived to the site for the unannounced re-certification audit on 26th August 2025, although it became apparent in the opening meeting that the company communicated the audit dates as blocked periods, they gave consent to start the unannounced audit. On the second audit day, 27th August 2025, the company requested to stop the audit. For this reason, the audit has been considered cancelled according to IFS Food Doctrine section 1-4.2.1 and the certificate withdrawn. A new full IFS Food audit will be planned.",17.10.2024,5,Locked: 27.08.2025,
10580,160DCE05,CHAVEGRAND S.E.,BP 5 - Lascoux,MAISON FEYNE,23 800,France,CHAVEGRAND S.E.,23 800,IFS Food,22.08.2025,"Following an epidemiological investigation, the health authorities (DDPP, DGAL/MUS) established that the company SE Chavegrand could be implicated in cases of listeriosis in France and Europe.
 
 As a result, on August 9, 2025, a large number of product batches placed on the market were recalled as a precautionary measure. This recall follows a previous recall on June 13, 2025, linked to the detection of Listeria monocytogenes in a pasteurised soft cheese.
 
 We have taken note of the certified company's cooperation with the authorities, the implementation of an ongoing action plan (systematic reinforced testing for pathogenic bacteria, including Listeria, reinforced cleaning and disinfection, enhanced environmental monitoring plan for Listeria monocytogenes and Listeria spp) and, in general, the strengthening of the sanitary measures in place on the site.
 
 We have taken note of the certified company's cooperation with the authorities, the implementation of an ongoing action plan (enhanced systematic testing for pathogenic bacteria, including Listeria, enhanced cleaning and disinfection, enhanced environmental monitoring plan for Listeria monocytogenes and Listeria spp) and, in general, the strengthening of the health measures in place on the site.
 We have also taken note that this action plan has been validated and is monitored by the authorities (DGAL/MUS), which authorize the continuation of manufacturing under the conditions thus defined.
 
 Within the framework of IFS Food certification and in accordance with the protocol defined by the IFS Food v8 standard, this food safety incident has led us to suspend the current certificate while we conduct additional investigations to ensure that, in the current situation, the requirements of the IFS Food standard are being met. We are therefore planning an additional audit, which will be carried out as soon as possible.",25.07.2025,4,"Locked: 22.08.2025, Unlocked: 01.09.2025",
57988,97B7AAFB,endori food Company GmbH & Co.KG,Industriestr. 2,Stegaurach,96135,Allemagne,,,IFS Food,25.08.2025,The audit was stopped at the request of the company.,23.09.2024,"5, 6, 2007",Locked: 25.08.2025,
75673,25D06FE3,LEGUMBRES SELECTAS SIERRA NEVADA SL,"POLG. IND. LA VEGA, 5",ATARFE,18230,Espagne,,,IFS Food,03.09.2025,"During the audit performed on 2nd September 2025 to 3rd September 2025, it was detected a KO under the requirement 2.3.9.1.
 
 KO 2.3.9.1.
 The company has identified two Critical Control Points in its HACCP:
 CCP1 in the selection phase for vision and laser cameras. At the beginning and end of each shift, samples of clods, limestone and sandstone are passed through the vision equipment (Urbano and Jubus line).
 CCP2 in the metal detector phase. The 1 mm Fe, 1 mm non-Fe, 1 mm SS and 1 mm aluminium samples are passed through the metal detector (Urbano and Jubus line) at the beginning, middle and end of each shift. 
 During the first day of the audit, the surveillance records for both PCCs from the start of the day (production is underway) and from the previous months for the two available lines are requested, showing that the company does not have surveillance records from August onwards, although according to the work reports for the Urbano and Jubus lines reviewed, the company has been in production every working day since 4 August.",04.02.2025,5,Locked: 03.09.2025,
46018,5B53D226,"EXPL AGRICOLA HNOS GUERRERO GEMEZ, S.L.","AVENIDA RIO GUADIANA, E-6 POLIGONO INDUSTRIAL SAPRE",LORCA - MURCIA,30800,Espagne,,,IFS Food,20.11.2025,"A withdrawal is being carried out due to a fire that has affected the site. The company is not operating on site, and a new full audit will be required to regain certification.",10.12.2024,5,Locked: 20.11.2025,
56447,56D271AD,Celvia Sérent SASU,ZI La Croix Ballais,Sérent,56460,France,LDC,72300,IFS Food,28.11.2025,"2.3.9.1 KO (D)
 The metal detector monitoring procedure in the picking area was not correctly applied to detect any loss of control of the metal detector CCP in a timely manner. During the audit, the operator in charge of the control retrieved the carton before it was properly ejected. A DPM verification test was carried out, and the ejector did not eject the cartons onto the NC product ejection ramp. The EN-EXP-004 record does not provide for recording the proper functioning of the ejector, so it is not possible to demonstrate when the ejector stopped working. 
 Work instruction IT/QUAL/006 specifies that in the event of a failure to eject, the products must be blocked. The operator on duty indicated that the ejector was not working properly when production started in the morning. The procedure was not followed.
 In addition, the stainless steel indicator was not detected by the DPM and when two successive indicators passed, the second indicator was not detected. 
 The CCP DPM is therefore not under control. A KO is established for this requirement.",21.01.2025,1,Locked: 28.11.2025,
84239,3F2ABD69,JUALPASUR S.L.,"Paraje Cuatro Vientos, 115",El Ejido (Almería),4700,Espagne,,,IFS Food,18.11.2025,"After the auditor ID 3973 arrived on 11/18/2025 at 09:00 at the facilities of Jualpasur, S.L. located at Paraje Cuatro Vientos 115, 04715 El Ejido (Almería) to perform the unannounced IFS Food v8 audit, planned for 11/18 and 11/19/2025, the company does not want to carry out the audit, alleging a lack of clients who require certification, and therefore the audit of the company cannot be carried out.",02.12.2024,5,Locked: 18.11.2025,
69801,6DC658F9,Colusso Industriedienstleistungen GmbH,Im Duvenanger 6,Hameln,31785,Allemagne,,,IFS Food,19.01.2026,"Corrective measures were not implemented as soon as possible
 to prevent the recurrence of non-conformities. E.g.
 a) The internal audit was carried out in great detail on 17 December 2024 /
 25 March 2025. A total of 33 deviations were identified. 19 deviations
 have been addressed, while the remaining 14 deviations are still open.
 Furthermore, no root cause analyses, corrections, or corrective actions
 were performed for the identified deviations.
 b) On 22 February 2024, an inspection by the competent authority was
 conducted, during which a total of 3 mandatory requirements and 7
 recommendations were issued. On 13 March 2024, an email including
 photo documentation of the actions taken in relation to the 3 mandatory
 requirements was sent to the authority. The recommendations were
 neither evaluated nor addressed in a risk-based manner by the
 company.
 Recommendation No. 7 – missing cover of the smoke detector above
 bulk materials (production room 2).
 c) Furthermore, customer complaints were reviewed. For example: Missing
 best-before date, complaint number 2025-11, dated 22 October 2025.
 A response to the customer was provided on 23 October 2025;
 however, no complete root cause analysis or corrective action was
 carried out. For complaint 2025-08 regarding labelling errors (mix-up of
 labels), a 4D report was prepared on 25 September 2025. The
 corrective action was not implemented in a timely manner. Training is
 planned for January, however, the defined timeline for the training was
 not justified on a risk-based approach.",02.07.2025,"6, 10",Locked: 19.01.2026,
77771,AFE6B67B,KOYASAN FOODS PENINSULA S.L.U.,"CL ALBUÑÁN, 5",GUADIX,18500,Espagne,,,IFS Food,30.01.2026,"During the audit performed on 26th January 2026 to 29th January 2026, it was detected a KO under the requirement 2.3.9.1.
 
 KO 2.3.9.1.
 During the site visit on the first day of the audit, on January 26, 2026, the following was observed:
 1. The passage of the metal detectors through the ""salmon poke"" dish (batch G026-1) was not recorded on the tablet designated for CCP control. The person in charge stated that ""it happened around 8:30 but it wasn't recorded,"" even though production started at 6:30. During the review of the record at the time of detection, 9:37, that time was recorded in the table App.
 2. After some time, the area is revisited to verify the next metal detector control of the same salmon poke line. It is evidenced that at 10:36, the passage of witnesses has not been registered. Packaging continues without passing the witnesses and without registering it after the control guideline established in the document Preparation of ingredients and preparation of salmon poke v9 dated 20.11.2025, which indicates that the control of CCPs with the witnesses is done at the beginning, end of production of the dish and every two hours.",07.04.2025,7,Locked: 30.01.2026,
10580,0fe39936,CHAVEGRAND S.E.,BP 5 - Lascoux,MAISON FEYNE,23 800,France,CHAVEGRAND S.E.,23 800,IFS Food,13.02.2026,"Following an epidemiological investigation, the health authorities (DDPP, DGAL/MUS) have established that the company is involved in cases of listeriosis in France and Europe (cluster 714).
 This resulted in recalls on June 13, 2025, and August 9, 2025, linked to the detection of Listeria monocytogenes in a pasteurized soft cheese.
 In accordance with the IFS Food standard, we suspend the certification with effect from August 22, 2025. Following an audit carried out on the premises on August 27, 2025, a decision was taken to lift the suspension on the basis of the action plan that was being implemented. 
 
 A number of events then took place, including:
 - a fire in part of premises (Goat workshop), following which, in accordance with the IFS standard, we had to inform the certification scheme prescriber and reduce your certification scope on October 14, 2025;
 - a formal notice issued to the company by the Creuse DDETSPP (Departmental Directorate for Employment, Labor, Social Protection, and Professional Training) to carry out actions following its visit on September 4 and 5, 2025, which were to be completed before November 13, 2025, and week 49;
 - unsatisfactory results of the analysis of samples relating to Listeria monocytogenes and Listeria spp in your company's production environment (no contamination identified in finished products) according to the documents sent in December 2025;
 - the information sent to the company by the Creuse DDETSPP on 21/01/2026 stating that the Listeria monocytogenes genosero group detected in the production environment corresponds to that of cluster 714 (IVb / serovar 4b or 4d or 4 e);
 - new unsatisfactory results from the analysis of samples relating to Listeria monocytogenes in the production environment (ripening room 19 and molding machine), leading to two notifications to the authorities according to the documents sent on January 27, 2026;
 - A search of the premises on January 27, 2026, as part of the ongoing judicial investigation;
 - a request by the Creuse DDETSPP (Departmental Directorate for Employment, Labor, Social Protection, and Population) to the company, dated February 2, 2026, for additional information as soon as possible, following the notification from its services on January 28, 2026, to which a response was made on February 5, 2026;
 - the notification by the DDETSPP of Creuse to the company, dated February 5, 2026, of a proposed suspension of health approval indicating, among other things, insufficient action in the updated health control plan, which was also assessed as incomplete, and informing of a new human case of listeriosis detected in November 2025 (cluster 714) and the failure to lift the formal notices, the proposed suspension of approval relating to milk processing, which corresponds to the scope of your certification according to the IFS standard;
 - similarity of the strains isolated in the environment to the strains in cluster 714, according to the information provided on February 6, 2026.
 In view of the above events, which show in particular the recurrent detection of Listeria monocytogenes in the direct and indirect production environment, we hereby suspend certification according to the IFS Food standard.
 This suspension takes effect on 02/13/2026",25.07.2025,4,Locked: 13.02.2026,
58303,19014d68,NUTCOR NUTRIENTS S.L.U.,Polígono Industrial I-II Parcela VIII,Guijuelo (Salamanca),37770,Espagne,,,IFS Food,09.02.2026,"Repeated non-compliance with the requirements necessary to maintain the food safety management system and the IFS Food standard, due to the fact that the storage conditions of raw materials outside the facilities are not adequate. Furthermore, it has been observed on numerous occasions that the entrance gates to the factory remain open, which poses a high risk of contamination, pest intrusion, and the emission of odors. This situation is particularly aggravated when product is kept at ambient temperature in the boxes located outside the facilities.",01.08.2025,1,Locked: 09.02.2026,
74771,233a9b34,Jokioisten Leipä Oy .,Leivänkuja 1,Jokioinen,FI-31600,Finlande,,,IFS Food,17.02.2026,"main bakery in Jokioinen, Finland, was completely destroyed in a fire. There will be no production at this location until further notice. Due to this situation, and because the current circumstances cannot be assessed in accordance with IFS requirements, the IFS certificate will be temporarily suspended.
 Once it becomes foreseeable when production will resume, there will be a special visit, after which the certificate can be reinstated.",20.11.2025,"6, 7",Locked: 17.02.2026,
