COID,CE_ID,Supplier,Address,City,ZIP,Country/Region,Head office,ZIP (head office),Standard,Certificate/Assessment lock date,Lock reason,Certificate/Assessment issue date,Product scopes,Lock history,Next audit to be performed
17564,2F9BC9AC,LÁCTEOS CAPRINOS S.A.,"HERRADORES, 11-13",CAMPILLO DE ARENAS-JAEN,23130,Espagne,,,IFS Food,12.05.2025,"During the re-certification audit, a major non-conformity has been detected in requirement 5.4.1: Against the indications of article 13 of RD 1801/2008, the scale used for the control of 100g. products does not comply with the acceptance criteria.
 Furthermore, against to what is indicated in the ICT 155/2020 order, the scale used for the control of 15 kg bags, which is used for commercial transactions with a USA customer, does not have a biennial metrological verification.",14.06.2024,4,Locked: 12.05.2025,
21810,19A8F514,Mecklenburger Backstuben GmbH,Am Alten Bahndamm 15,Waren (Müritz),17192,Allemagne,,,IFS Food,12.05.2025,"During IFS Food v 8 audit on 07-08.05.2025 the following Major NC against the cl. 4.13.2:
 During the site inspection as part of the audit on 8 May 2025 at around 09:00, the use of sticky traps for rodent control was detected, which did not comply with local legal requirements.
 A total of 4 sticky traps with several dead mice of different ages were found in the production room next door. The use of sticky traps for rodent control is a breach of the Animal Welfare Act (TierSchG) v. 20.12.2022 I 2752 (§ 4). The traps were not documented on the site plan for pest control.",27.05.2024,6,Locked: 12.05.2025,
25765,CA06B643,"VICASOL, S.C.A. - Centro 2 S.C.A","Ctra ALP 108 KM 1,4",VICAR (ALMERIA),4738,Espagne,VICASOL,4738,IFS Food,29.04.2025,"On 22,23,24-04-2025 was performed an unannounced audit, and the auditor rated 1 KO No Conformity in this audit for the following requirement:
 
 • KO rating for requirement 3.2.2:
 During the visit to the plant, non-compliances with hygiene standards were detected:
 - evidence of smoking inside the facilities (toilets in the handling area) on 22 and 23 April, strong smell of tobacco and presence of ash.
 - presence of cigarette butts and two drink cans in the packaging material storing area located in the basement.
 - presence of a bottle of water in the compressor room of the raw material refrigeration chamber",17.07.2024,5,Locked: 29.04.2025,
26882,48DEE939,Landgard Bio GmbH,Raiffeisenstraße 10,Bornheim,D - 53332,Allemagne,Landgard Obst und Gemüse eG,47638,IFS Wholesale / Cash & Carry,09.05.2025,"Requirement item 5.11.3
 Non-conformity: 
 Corrective actions were defined and processed for all non-conformities from the IFS audit 2024 and classified as effective by the QMB. However, their effectiveness was not sufficiently checked, resulting in repeated nonconformities in this year's audit. The procedure for checking effectiveness is therefore rated as inadequate. This can be seen in the following examples:
 
 - 4.5.2 the declarations of conformity and annexes dated 06/05/2024 and 11/03/2025 do not allow any reference to the films used in production, as the film designations do not match.
 - 4.7.1.2 As a corrective measure, it was determined that the storage temperature is documented in the monthly plant inspection, but this only takes place quarterly.
 - 4.8.2 The procedure defined as a corrective measure in VA 4.4.0 as of 07/05/2024 is not known to the responsible employees. The annual cleaning of floors and walls is not documented.
 - 4.15.6 The information sheet for external persons has been supplemented, but it has not been exchanged in production, so that external service providers are not aware of the new requirements.
 - 5.11.3 An additional signature column has been added to the action plan to document the effectiveness test. However, the effectiveness check was not carried out in the necessary depth to check the corrective measures taken for completeness and effectiveness, so the documented effectiveness check is to be classified as a completion check.
 - 2025: the documented effectiveness check of the corrective actions for the deviations from the IFS audit 2024 was carried out on 30 June 2024, but not all corrective actions could be checked for effectiveness at this time, e.g. the documentation of the annual cleaning, as this was not carried out until 4 May 2025.",22.5.2024,"1,5",Locked: 09.05.2025,
27035,5938D1CA,VION Vilshofen GmbH,Aidenbacherstrasse 78,Vilshofen,94474,Allemagne,Vion GmbH,86807,IFS Food,07.05.2025,Vion Vilshofen no longer exists.,04.06.2024,1,Locked: 07.05.2025,
28206,535A7FE9,Italcanditi B.V.,Fruitlaan 24,Goes,4462 EP,Pays-Bas,CSM Italia (80880) S.r.l.,26013,IFS Food,16.05.2025,"During the audit completed on site on 12-13-14/05/2025 the following Major NC was identified:
 4.5.1 Major NC:
 The company uses polypropylene (PP) buckets supplied by Jockey Plast (DoC 14.5.25) for hot filling at temperatures between 77 °C and 88 °C.
 Although the Declaration of Compliance (DoC) allows hot filling of acidic products between 70 °C and 100 °C, it specifies that the product must cool to 50 °C within 1 hour.
 In practice:
 10 kg buckets reach 60 °C only after 12 hours
 2 kg buckets reach 60 °C in 8 hours
 No specific migration testing or scenario validation has been conducted to verify compliance of this prolonged cooling process with EU Regulation 10/2011",10.07.2024,"5, 6, 2007",Locked: 16.05.2025,22.05.2025 - 23.05.2025
31702,92E66574,Walter Lager Betriebe - Terminal Süd GmbH,IZ NÖ-Süd Str. 14,Wiener Neudorf,2355,Autriche,,,IFS Logistics,12.05.2025,"Non-conformity:
 The internal audit is conducted in two parts. The first part was audited as planned on April 9, 2025, during which a total of 32 requirements from IFS Logistics Version 3 were audited.
 The second part of the internal audit has not yet been carried out and was planned within the 15-month period.
 In 2024, the internal audit took place on March 20, 2024.
 The internal audit was therefore not planned within the 12-month period as required. Only the implementation may not exceed 15 months.
 As a result, it was not ensured internally that the new requirements of IFS Logistics Version 3 were implemented or that the requirements were met.
 This was confirmed in particular by the fact that several deviations from the new requirements were identified during the IFS audit:
 • No concrete approaches to food safety culture defined in the company mission statement (see checklist item 1.1.1)
 • Lack of procedures regarding reporting obligations to the certification body (see item 1.2.4)
 • Deficiency in the revalidation of the HACCP plan in a specific case (see point 2.2.3.9)
 • Failure to consider cyber attacks in product protection (see point 4.5.4)
 • Incomplete management review with regard to the new criteria (see point 1.3.1).
 The above checklist items were largely not audited or audited unsatisfactorily in two points during the internal audit on April 9, 2025.",22.07.2024,"1.1.10, 1.1.11, 1.1.4, 1.1.5, 1.1.6, 1.1.7, 1.1.8, 1.2.2",Locked: 12.05.2025,
34346,B5698ECF,ROYAL SAVEURS S.A.S.,Lieu-dit Moureous - Route d'Auch,MARIGNAC,82500,France,ROYAL SAVEURS S.A.S.,82500,IFS Food,07.05.2025,"Following the declaration received on 06/05/2025 of a major fire during the night of April 21 to 22, 2025, Bureau Veritas France cannot guarantee the integrity of the certification without further action.",15.01.2025,5,Locked: 07.05.2025,
34940,53CDD3B4,CEDROB FOODS S.A.,ul. Baczyńskiego 165,Sosnowiec,41-203,Pologne,CEDROB FOODS S.A.,40-084,IFS Food,15.05.2025,Fire at part of the plant /warehouse. Production has been stopped.,22.01.2025,"1, 7",Locked: 15.05.2025,
35156,3C02D3C0,Port International Bananas GmbH,Lippeltstraße 1,Hamburg,20097,Allemagne,Port International GmbH,20097,IFS Broker,06.05.2025,"Port International Bananas GmbH (COID 35156) merged on 1 April 2025 with Port International Organics GmbH (COID 35160). Subsequently, Port International Organics GmbH was renamed Port International Bananas GmbH. PIB's IFS Broker certification with COID 35156 is now managed under Port International Bananas GmbH IFS Broker certification with COID 35160.",05.03.2025,"1,5",Locked: 06.05.2025,
35760,714547B0,Süßmost- und Weinkelterei Hohenseefeld GmbH,Luckenwalder Strasse 5a,Hohenseefeld,14913,Allemagne,,,IFS Progress Food,06.05.2025,Business closure / production is discontinued,06.08.2024,8,Locked: 06.05.2025,
36350,58B1A387,Bergland Food GmbH,Schlachthausstraße 1,Pritzwalk,16928,Allemagne,,,IFS Food,16.05.2025,"KO in 1.2.1
 Based on the samples reviewed during the audit, the food safety and product quality management system is not fully implemented, maintained and reviewed. Employees could not demonstrate in all areas that they are aware of their responsibilities.
 The following examples:
 1) Receipt of frozen commercial goods: The unloading of the delivering truck was carried out on the first day of the audit without incoming goods inspection / checking the incoming goods temperature (CP 1). The responsible employee was on vacation and the production management was not informed by the staff.
 2) Metal detection packaging of vegetarian cabbage rolls (CP 3): According to the work instructions and form, the MC check should be carried out 3 times per shift. The inspection could be demonstrated during the on-site evaluation; there was no documentation of the previous inspections because, according to the employee, the necessary form was not available for the early shift.
 3) Metal detection packaging of pork roulades (CP 3): During the on-site evaluation at around 16:50, the metal detection test was demonstrated, which had been documented on the form approx. 20 min. previously without any deviations. The metal detector did not detect any of the 3 test objects. The employee responsible did not react. The production management intervened and changed the metal detector settings after several faulty runs. After a positive functional test, the previously filled containers were checked again with the metal detector. According to the company, employees in this area are permitted to adjust the metal detector settings if necessary.
 4) The crate management specified in the company is not fully implemented. Red E2 crates are only intended for product contact, but were used on the audit days as waste crates for food leftovers and were also repurposed for technical purposes (e.g. one crate was on the floor for storing the power cable, other crates are used for storage in the technical department)
 
 5) The specifications on the FB 19-08 Production monitoring form must be checked and documented 3 times on each shift. During the on-site evaluation on 13.05.2025 at around 10:50 a.m., this document had not yet been processed, one check should have been recorded at 5 a.m. and the second at 9 a.m.
 
 6) Production / packaging of pork goulash 14.05.2025: Form 19-06-01 Monitoring packaging of meat must be processed 3 times in each shift, after which a temperature check and, among other things, a check of the packaging and labeling must be carried out. Goulash production started at 7:30 a.m. on the day of the audit and lasted until approx. 3 p.m. according to the company. During the on-site evaluation at approx. 8:15 a.m., no time or temperature was specified for the first check, and the second check was already pre-filled with “OK” for the packaging and labeling check.
 
 Ko in 5.11.3
 1) The internal audit was carried out on 24 and 25.02.2025. A comprehensive action plan FB 12-02 with a total of 33 points was drawn up. Responsibilities and deadlines were defined, but neither corrections nor corrective actions were documented. Not all deviations were marked as completed, and the deviations that were marked as completed are not dated. Accordingly, the status of implementation cannot be documented.
 2) The corrections and corrective measures implemented are not documented in a comprehensible manner when processing complaints. Example: Label error cabbage roulade from 05.07.2024. The cabbage roulade was labeled with the best before date 31.05.2024 instead of 31.05.2025. The error was noticed when the goods were received by the customer. According to the company, the goods were repackaged/labeled after being returned. This procedure is not documented, only a credit note was noted as a measure.
 3) The corrective action for deviation 4.12.2 from the last IFS Food Audit 2024 was not fully implemented. Form FB 19-14 Knife control register has been revised. Employees should tick the appropriate measures (sharpen, replace) when checking “Knives not in order”. However, these measures were not documented in the audit example from 24.10.2024 and 04.04.2025, the columns are not filled in.",17.07.2024,"1, 7",Locked: 16.05.2025,
37050,1876015E,Innovate GmbH,Gewerbegebietsstraße 30,Schönburg,6618,Allemagne,,,IFS HPC,13.05.2025,"2.2.3.8
 .
 Document F2AA10 ""In Process Control"" form 06.09.2023 requires:
 CCP I: metal detection
 Limit : stick was not ejected
 Stick sizes/ types:
 Fe- 2,0 mm
 Stainless Steel – 3,0 mm
 Non Ferrous- 1,5 mm
 During the audit the test was done with the following test pieces:
 Fe- 2,0 mm
 Stainless Steel – 3,0 mm
 Non Fe- 3,0 mm
 Therefore, the test specifications for non-ferrous metals with the critical limit of
 1.5 mm were not met.
 In accordance with process F2AA10 ‘In Process Control’ dated 06.09.2023, the
 metal detector must be tested before the start of production and at least 3 times
 per shift. Metal detectable patches are also tested. Innovate adheres to these
 rules.
 But the newer document F2FB63 V2 dated 09.08.2024 ""CCP monitoring""
 requires the test before production start and a hourly test for medical devices
 and a 2 hours test for all other products like cosmetics, cleaning wipes.
 Therefor the newer test frequency have not been followed.
 In the HACCP analysis F2FB63 dated 09.08.2024, the 2-hourly inspection is
 required for all products at one point. On the same page, four lines further down,
 the hourly check is required for all products.
 The new rules are not consistent.
 Therefore, the CCP I test was not performed in accordance with any of the new
 regulations dated 9 August 2024 on test frequency.",28.11.2024,"1, 2, 2004",Locked: 13.05.2025,
38160,971A7F97,CHIOS GARDENS JUICE INDUSTRY SA,"34, 25th Martiou Str.-D. Kampochoron",Chios,82100,Grèce,,,IFS Food,12.05.2025,The production activity of this company has been stopped.,02.12.2024,8,Locked: 12.05.2025,
38759,384BB487,Casearia Bresciana Ca.Bre - Società Cooperativa Agricola Sca,Frazione Cadignano,VEROLANUOVA (BS),25028,Italie,,,IFS Food,16.05.2025,"Following the certification visit on 12,13,14/05/2025, and following a preliminary technical review, the certificate is suspended due to Major non-conformity
 In detail § 4.13.1
 The inspection of the preparation and production departments revealed an ongoing infestation situation.
 Example: Hard cheese production area with presence of flying insects (flies and Diptera), in particular in the disused area of ​​Leonessa cheese production; flying insects in the Grana Padano hard cheese production area (presence of midges on the surface of the curd being processed) and in the provolone cheese production area (presence of midges on the curd in the multipurpose room); skimming department, the presence of a live rodent was detected (along the department pipes); presence of Blattella germanica behind the processing plants.",28.06.2024,4,Locked: 16.05.2025,
40166,484CB3C2,Becker Süßwaren GmbH,Hansestrasse 18,Uelzen,29525,Allemagne,,,IFS Food,08.05.2025,"4.18.1 KO Non-Conformity:
 The identification of the product batch Popcorn Sweet 100g ""zwart"" BB 21.07.2025 / batch L1034 and its relation to the batch of packaging material with the designation tubular bag 100g Popcorn zoet moment zwarte with food contact is not possible, as the necessary batch designation of the film used was not entered in the production log. Therefore, the traceability of the packaging material is not verifiable.",21.08.2024,6,Locked: 08.05.2025,
40684,73B8B206,TAT - POL Sp. z o.o.,Wojska Polskiego 9-11,Działoszyn,98-355,Pologne,,,IFS Food,14.05.2025,No payment for the audit done,05.05.2025,5,"Locked: 14.05.2025, Unlocked: 14.05.2025",
42022,4E9D5955,GRANJA AVICOLA EL ANGEL SL S.L.,"CTRA CEDILLO-LOMINCHAR, KM. 16",CEDILLO DEL CONDADO-TOLEDO,45214,Espagne,,,IFS Food,16.05.2025,"KO 4.18.1: The correct traceability of the packaging material in contact with the product of the plastic lids being used at the time of the audit cannot be evidenced:
 -The system employed by the company to record the batches of packaging material in use is done by reading the labels on the material as it enters the production line, with this information being loaded into computer software:
 When the available batches of plastic caps were checked ‘in situ’ on the production line on 14/05/2025, some boxes with batch 627214 and other boxes with batch 620174 were detected. When the records of incorporation into the line were requested, for batch 627214 there were no outputs recorded and for batch 620174 there were previous outputs with dates of 15/10/2024 and 13/02/2025.
 The last output of plastic caps identified in the record of incorporation of packaging material to the production line is 10/05/2025, for batch 627545, which is not present on the line at the time of the audit.
 Although the company declares to carry out a final traceability of said packaging material by means of theoretical consumptions following the FIFO system, it can be corroborated on the basis of the data reviewed that the company does not maintain this system for the consumption of plastic caps.
 -Batch 627545, received on 11/11/2024, is used, according to the record of incorporation into production, on 10/05/2025.
 -Batch 620174, previously received on 08/10/2024, was detected in situ on the production line at the time of the visit on 14/05/2025.
 Although the company states that it was the victim of a cyber-attack on 06/05/2025, which caused the loss of the information in the system, no action was taken to ensure the correct traceability of the packaging material.",30.07.2024,3,Locked: 16.05.2025,
42467,1A379E44,LANGUS SEAFOOD S.L,"CRTA. MADRID-IRÚN, KM.245 RECINTO ADUANA, NAVES 2 A 5",BURGOS,9007,Espagne,,,IFS Food,16.05.2025,"During the audit performed on 12th May 2025 to 14th May 2025, it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 
 The company has incorporated in the scope a new product, REFRIGERATED RAW LANGOSTINO packaged in MAP. This product is only made for a reference for customer C. 
 A complete revision of the process has been carried out including treatment processes as well as on-site controls until the finished product is obtained. 
 This product is received in freezing conditions and undergoes thawing for subsequent packaging in modified atmosphere without any type of treatment that produces the transformation of the product. 
 The product is sold to customer C. with storage conditions of 0-4ºC. 
 Major NC: The product labeling does not make reference to the mention of thawed product as indicated in the regulation 1169/2011. On the other hand, it is indicated that the product is suitable for freezing. This fact only occurs in this reference for customer C. The rest of the labels reviewed are compliant.",14.08.2024,2,Locked: 16.05.2025,
47568,A9D6848E,LA SORGENTE SRL,VIA ALDO MORO 6,PESSANO CON BORNAGO,70,Italie,,,IFS Food,06.05.2025,"During Integrity on site Check detected one NC Major at req 4.10.2: The warehouse of non-perishable raw materials and primary and secondary packaging material appears, with particular reference to the area between the shelves and the walls, to be in a very poor state of cleanliness and order, with the presence of material (dirt) not removed which in some cases appears to be very similar to feces of animals larger than mice. The material in particular appears to be a mix of feces and blue packaging material. This finding occurs in a situation of lack of cleanliness and order in the areas subject to the finding. In the same area, the presence of secondary packaging materials (cardboard boxes) and primary packaging materials (reels of plastic film not in use at the time of the audit due to seasonality) is also reported, in some cases unprotected.",14.01.2025,"5, 6, 2007",Locked: 06.05.2025,
49909,037824F1,King Cuisine B.V.,Jules Verneweg,Tilburg,5015 BG,Pays-Bas,,,IFS Food,07.05.2025,"Major on 4.9.9.2: No corrective action after water was tested ('tappunt glas-menger') at 2 E.Coli/100 ml (Toleranceos < 1/100ml). Note: do deviations of E.Coli in product were seen.
 
 Note: Level NC was overruled by certification committee after audit.",05.04.2024,"5, 7, 2009",Locked: 07.05.2025,
50330,B9160932,CENTRO SERVIZI ITALIA S.R.L.,"VIALE DELLE REGIONI, 37",VOLANIA - COMACCHIO,44022,Italie,,,IFS Food,12.05.2025,Failure to pay invoices relating to audit activities already carried out.,17.12.2024,1,Locked: 12.05.2025,
51158,24C000CA,Mainzer Kühlhaus- und Transportgesellschaft mbH & Co. KG,Dekan-Laist-Straße 1,Mainz-Hechtsheim,55129,Allemagne,,,IFS Logistics,13.05.2025,"4.3.1 Major Nonconformity:
 The internal instruction ""HACCP-compliant temperature measurement in goods"" does not differentiate between the different product groups and their packaging types.
 During the audit, an incoming goods inspection was conducted. It was observed that an employee inserted the core thermometer probe directly into a carton of frozen baked goods without prior disinfection. Contrary to the internal instruction, the employee was not wearing disposable gloves or had not washed his hands.
 The internal instruction ""HACCP-compliant temperature measurement in goods"" does not specify how the goods are to be handled after the product-destructive testing. The carton was not disposed of and the goods were stored. Therefore, it cannot be ruled out that the goods are still intact.
 Furthermore, at the time of the audit, no training certificate was available for the employee in question, who had been with the company for five months.",08.07.2024,"1.1.1, 1.1.2, 1.1.6, 1.1.7, 1.1.8, 1.2.1, 1.2.3, 2.1.1, 2.1.2, 2.1.6, 2.1.7, 2.1.8, 2.2.1, 2.2.3",Locked: 13.05.2025,
51859,2A54B784,MODERN CIKOLATA GIDA SANAYI A.S.,KARAMAN ORGANIZE SANAYI BOLGESI 6. CADDE NO:1,KARAMAN,70100,Turquie,,,IFS Food,13.05.2025,payment not made to the CB for audit performed,04.12.2024,6,Locked: 13.05.2025,
52336,7EC6104A,Multimes Group LTD,"13, Oborishte str.",Lyaskovets,5140,Bulgarie,,,IFS Food,14.05.2025,"As of today (14.05.2025), Certima BV withdraw the certificate number IFS – 01078 of client MULTIMES GROUP EOOD
 13, Oborishte Str., 5140 Lyaskovets, Bulgaria
 COID: 52336
 
 Reason: During the announced certification audit conducted on 12-13.05.2025 issued KO and Major
 
 КО on requirement 5.1.1:
 The planned audit for 2025 on 24-25.04.25 (see Order 88/14.04.25) was not performed. Verification and internal audit program for planning verification activities for each year are required by the company's procedures, but the latest one was shown for 2024, there is no up-to-date for 2025, respectively, and evidence that it is based on a risk assessment. In this regard, the following facts have not been assessed:
 - the planned date for the Internal Audit for the current year is not within 12 months (the last audit performed was dated 27-28.03.2024);
 - there is no documented justification, reason/risk assessment/decision regarding not performing the audit on the planned dates and a subsequent opinion to extend the period for conducting it, so as to prove that it will not exceed 15 months;
 - there is no assessment that the frequency and planned date of the internal audit are adequate, taking into account that the position of Quality Manager is occupied by a new person from the beginning of the year, who is not full-time and has no experience in maintaining an IFS system (only introductory IFS training for this person from 12.2024 by an external company is available).
 
 Major on requirement 2.1.2.1:
 Part of the Personal Hygiene and Health, and Cleaning Records for 2024 are nonexistent and thus the legality, security or quality cannot be guaranteed (legal NC with the requirements of Regulation 852/2024 regarding documentation/records keeping). For the second half of the 2024 seen only partly records for September 2024.",14.05.2024,1,Locked: 14.05.2025,
